cve_id,published,cvss,description,url,source
CVE-1999-0013,1998-01-22T05:00:00.000,8.4,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.",https://nvd.nist.gov/vuln/detail/CVE-1999-0013,keyword
CVE-1999-1085,1998-06-12T04:00:00.000,5.0,"SSH 1.2.25, 1.2.23, and other versions, when used in in CBC (Cipher Block Chaining) or CFB (Cipher Feedback 64 bits) modes, allows remote attackers to insert arbitrary data into an existing stream between an SSH client and server by using a known plaintext attack and computing a valid CRC-32 checksum for the packet, aka the ""SSH insertion attack.""",https://nvd.nist.gov/vuln/detail/CVE-1999-1085,keyword
CVE-1999-0310,1998-09-01T04:00:00.000,7.5,SSH 1.2.25 on HP-UX allows access to new user accounts.,https://nvd.nist.gov/vuln/detail/CVE-1999-0310,keyword
CVE-1999-1321,1998-11-05T05:00:00.000,7.5,Buffer overflow in ssh 1.2.26 client with Kerberos V enabled could allow remote attackers to cause a denial of service or execute arbitrary commands via a long DNS hostname that is not properly handled during TGT ticket passing.,https://nvd.nist.gov/vuln/detail/CVE-1999-1321,keyword
CVE-1999-1159,1998-12-29T05:00:00.000,4.6,SSH 2.0.11 and earlier allows local users to request remote forwarding from privileged ports without being root.,https://nvd.nist.gov/vuln/detail/CVE-1999-1159,keyword
CVE-1999-0248,1999-01-01T05:00:00.000,10.0,A race condition in the authentication agent mechanism of sshd 1.2.17 allows an attacker to steal another user's credentials.,https://nvd.nist.gov/vuln/detail/CVE-1999-0248,keyword
CVE-1999-0398,1999-01-01T05:00:00.000,4.6,"In some instances of SSH 1.2.27 and 2.0.11 on Linux systems, SSH will allow users with expired accounts to login.",https://nvd.nist.gov/vuln/detail/CVE-1999-0398,keyword
CVE-1999-0547,1999-01-01T05:00:00.000,10.0,An SSH server allows authentication through the .rhosts file.,https://nvd.nist.gov/vuln/detail/CVE-1999-0547,keyword
CVE-1999-0634,1999-01-01T05:00:00.000,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: None.  Reason: this candidate is solely about a configuration that does not directly introduce security vulnerabilities, so it is more appropriate to cover under the Common Configuration Enumeration (CCE).  Notes: the former description is: ""The SSH service is running.",https://nvd.nist.gov/vuln/detail/CVE-1999-0634,keyword
CVE-1999-1029,1999-05-13T04:00:00.000,7.5,"SSH server (sshd2) before 2.0.12 does not properly record login attempts if the connection is closed before the maximum number of tries, allowing a remote attacker to guess the password without showing up in the audit logs.",https://nvd.nist.gov/vuln/detail/CVE-1999-1029,keyword
CVE-1999-1231,1999-06-09T04:00:00.000,5.0,"ssh 2.0.12, and possibly other versions, allows valid user names to attempt to enter the correct password multiple times, but only prompts an invalid user name for a password once, which allows remote attackers to determine user account names on the server.",https://nvd.nist.gov/vuln/detail/CVE-1999-1231,keyword
CVE-1999-0787,1999-09-17T04:00:00.000,2.1,The SSH authentication agent follows symlinks via a UNIX domain socket.,https://nvd.nist.gov/vuln/detail/CVE-1999-0787,keyword
CVE-1999-1010,1999-12-14T05:00:00.000,2.1,"An SSH 1.2.27 server allows a client to use the ""none"" cipher, even if it is not allowed by the server policy.",https://nvd.nist.gov/vuln/detail/CVE-1999-1010,keyword
CVE-2000-0143,2000-02-11T05:00:00.000,4.6,"The SSH protocol server sshd allows local users without shell access to redirect a TCP connection through a service that uses the standard system password database for authentication, such as POP or FTP.",https://nvd.nist.gov/vuln/detail/CVE-2000-0143,keyword
CVE-2000-0217,2000-02-24T05:00:00.000,5.1,"The default configuration of SSH allows X forwarding, which could allow a remote attacker to control a client's X sessions via a malicious xauth program.",https://nvd.nist.gov/vuln/detail/CVE-2000-0217,keyword
CVE-2000-0532,2000-06-07T04:00:00.000,7.5,"A FreeBSD patch for SSH on 2000-01-14 configures ssh to listen on port 722 as well as port 22, which might allow remote attackers to access SSH through port 722 even if port 22 is otherwise filtered.",https://nvd.nist.gov/vuln/detail/CVE-2000-0532,keyword
CVE-2000-0525,2000-06-08T04:00:00.000,10.0,"OpenSSH does not properly drop privileges when the UseLogin option is enabled, which allows local users to execute arbitrary commands by providing the command to the ssh daemon.",https://nvd.nist.gov/vuln/detail/CVE-2000-0525,keyword
CVE-2000-0575,2000-07-05T04:00:00.000,7.2,"SSH 1.2.27 with Kerberos authentication support stores Kerberos tickets in a file which is created in the current directory of the user who is logging in, which could allow remote attackers to sniff the ticket cache if the home directory is installed on NFS.",https://nvd.nist.gov/vuln/detail/CVE-2000-0575,keyword
CVE-2000-0784,2000-10-20T04:00:00.000,10.0,"sshd program in the Rapidstream 2.1 Beta VPN appliance has a hard-coded ""rsadmin"" account with a null password, which allows remote attackers to execute arbitrary commands via ssh.",https://nvd.nist.gov/vuln/detail/CVE-2000-0784,keyword
CVE-2000-0999,2000-12-11T05:00:00.000,10.0,Format string vulnerabilities in OpenBSD ssh program (and possibly other BSD-based operating systems) allow attackers to gain root privileges.,https://nvd.nist.gov/vuln/detail/CVE-2000-0999,keyword
